 4.0900     296.0  15.30    4.98  24.00
 4.9671     242.0  17.80    9.14  21.60
 4.9671     242.0  17.80    4.03  34.70
 6.0622     222.0  18.70    2.94  33.40
 6.0622     222.0  18.70    5.33  36.20
 6.0622     222.0  18.70    5.21  28.70
 5.5605     311.0  15.20   12.43  22.90
 5.9505     311.0  15.20   19.15  27.10
 6.0821     311.0  15.20   29.93  16.50
 6.5921     311.0  15.20   17.10  18.90
 6.3467     311.0  15.20   20.45  15.00
 6.2267     311.0  15.20   13.27  18.90
 5.4509     311.0  15.20   15.71  21.70
 4.7075     307.0  21.00    8.26  20.40
 4.4619     307.0  21.00   10.26  18.20
 4.4986     307.0  21.00    8.47  19.90
 4.4986     307.0  21.00    6.58  23.10
 4.2579     307.0  21.00   14.67  17.50
 3.7965     307.0  21.00   11.69  20.20
 3.7965     307.0  21.00   11.28  18.20
 3.7979     307.0  21.00   21.02  13.60
 4.0123     307.0  21.00   13.83  19.60
 3.9769     307.0  21.00   18.72  15.20
 4.0952     307.0  21.00   19.88  14.50
 4.3996     307.0  21.00   16.30  15.60
 4.4546     307.0  21.00   16.51  13.90
 4.6820     307.0  21.00   14.81  16.60
 4.4534     307.0  21.00   17.28  14.80
 4.4547     307.0  21.00   12.80  18.40
 4.2390     307.0  21.00   11.98  21.00
 4.2330     307.0  21.00   22.60  12.70
 4.1750     307.0  21.00   13.04  14.50
 3.9900     307.0  21.00   27.71  13.20
 3.7872     307.0  21.00   18.35  13.10
 3.7598     307.0  21.00   20.34  13.50
 3.3603     279.0  19.20    9.68  18.90
 3.3779     279.0  19.20   11.41  20.00
 3.9342     279.0  19.20    8.77  21.00
 3.8473     279.0  19.20   10.13  24.70
 5.4011     252.0  18.30    4.32  30.80
 5.4011     252.0  18.30    1.98  34.90
 5.7209     233.0  17.90    4.84  26.60
 5.7209     233.0  17.90    5.81  25.30
 5.7209     233.0  17.90    7.44  24.70
 5.7209     233.0  17.90    9.55  21.20
 5.1004     233.0  17.90   10.21  19.30
 5.1004     233.0  17.90   14.15  20.00
 5.6894     233.0  17.90   18.80  16.60
 5.8700     233.0  17.90   30.81  14.40
 6.0877     233.0  17.90   16.20  19.40
 6.8147     243.0  16.80   13.45  19.70
 6.8147     243.0  16.80    9.43  20.50
 6.8147     243.0  16.80    5.28  25.00
 6.8147     243.0  16.80    8.43  23.40
 7.3197     469.0  21.10   14.80  18.90
 8.6966     226.0  17.90    4.81  35.40
 9.1876     313.0  17.30    5.77  24.70
 8.3248     256.0  15.10    3.95  31.60
 7.8148     284.0  19.70    6.86  23.30
 6.9320     284.0  19.70    9.22  19.60
 7.2254     284.0  19.70   13.15  18.70
 6.8185     284.0  19.70   14.44  16.00
 7.2255     284.0  19.70    6.73  22.20
 7.9809     284.0  19.70    9.50  25.00
 9.2229     216.0  18.60    8.05  33.00
 6.6115     337.0  16.10    4.67  23.50
 6.6115     337.0  16.10   10.24  19.40
 6.4980     345.0  18.90    8.10  22.00
 6.4980     345.0  18.90   13.09  17.40
 6.4980     345.0  18.90    8.79  20.90
 5.2873     305.0  19.20    6.72  24.20
 5.2873     305.0  19.20    9.88  21.70
 5.2873     305.0  19.20    5.52  22.80
 5.2873     305.0  19.20    7.54  23.40
 4.2515     398.0  18.70    6.78  24.10
 4.5026     398.0  18.70    8.94  21.40
 4.0522     398.0  18.70   11.97  20.00
 4.0905     398.0  18.70   10.27  20.80
 5.0141     398.0  18.70   12.34  21.20
 4.5026     398.0  18.70    9.10  20.30
 5.4007     281.0  19.00    5.29  28.00
 5.4007     281.0  19.00    7.22  23.90
 5.4007     281.0  19.00    6.72  24.80
 5.4007     281.0  19.00    7.51  22.90
 4.7794     247.0  18.50    9.62  23.90
 4.4377     247.0  18.50    6.53  26.60
 4.4272     247.0  18.50   12.86  22.50
 3.7476     247.0  18.50    8.44  22.20
 3.4217     270.0  17.80    5.50  23.60
 3.4145     270.0  17.80    5.70  28.70
 3.0923     270.0  17.80    8.81  22.60
 3.0921     270.0  17.80    8.20  22.00
 3.6659     270.0  18.20    8.16  22.90
 3.6659     270.0  18.20    6.21  25.00
 3.6150     270.0  18.20   10.59  20.60
 3.4952     276.0  18.00    6.65  28.40
 3.4952     276.0  18.00   11.34  21.40
 3.4952     276.0  18.00    4.21  38.70
 3.4952     276.0  18.00    3.57  43.80
